,EMethanol_synthesis_50,EMethanol_Upgrade_50,CO2_DAC_50
Electricity,6.557295881601474,0.0,0.7980481803166092
Hydrogen,14.928076627591883,0.0,0.0
Heat,-1.8874378686231275,-1.7704698880323986,4.884054863537649
Biomass,0.0,0.0,0.0
