Year,TIC [M€],O&M [M€],FUEL COST [M€],TOT YEARLY COST [M€],TOT YEARLY COST ACT [M€],YEARLY FUEL PRODUCTION [PJ],YEARLY FUEL PRODUCTION ACT [PJ]
0,1265.8939648524863,0,0,1265.8939648524863,1265.8939648524863,0,0.0
1,0,37.80999570989635,262.268123909855,300.0781196197513,288.5366534805301,23.887965848379142,22.96919793113379
2,0,37.80999570989635,262.268123909855,300.0781196197513,277.43908988512504,23.887965848379142,22.085767241474798
3,0,37.80999570989635,262.268123909855,300.0781196197513,266.7683556587741,23.887965848379142,21.236314655264227
4,0,37.80999570989635,262.268123909855,300.0781196197513,256.5080342872828,23.887965848379142,20.419533322369446
5,0,37.80999570989635,262.268123909855,300.0781196197513,246.64234066084884,23.887965848379142,19.63416665612447
6,0,37.80999570989635,262.268123909855,300.0781196197513,237.15609678927768,23.887965848379142,18.87900640011968
7,0,37.80999570989635,262.268123909855,300.0781196197513,228.03470845122857,23.887965848379142,18.15289076934585
8,0,37.80999570989635,262.268123909855,300.0781196197513,219.26414274156593,23.887965848379142,17.454702662832545
9,0,37.80999570989635,262.268123909855,300.0781196197513,210.8309064822749,23.887965848379142,16.78336794503129
10,0,37.80999570989635,262.268123909855,300.0781196197513,202.72202546372588,23.887965848379142,16.13785379329932
11,0,37.80999570989635,262.268123909855,300.0781196197513,194.92502448435178,23.887965848379142,15.517167108941653
12,0,37.80999570989635,262.268123909855,300.0781196197513,187.42790815803056,23.887965848379142,14.920352989366972
13,0,37.80999570989635,262.268123909855,300.0781196197513,180.21914245964476,23.887965848379142,14.346493259006703
14,0,37.80999570989635,262.268123909855,300.0781196197513,173.28763698042766,23.887965848379142,13.794705056737214
15,0,37.80999570989635,262.268123909855,300.0781196197513,166.6227278657958,23.887965848379142,13.264139477631938
16,0,37.80999570989635,262.268123909855,300.0781196197513,160.21416140941906,23.887965848379142,12.753980266953786
17,0,37.80999570989635,262.268123909855,300.0781196197513,154.05207827828755,23.887965848379142,12.26344256437864
18,0,37.80999570989635,262.268123909855,300.0781196197513,148.12699834450723,23.887965848379142,11.791771696517921
19,0,37.80999570989635,262.268123909855,300.0781196197513,142.42980610048772,23.887965848379142,11.338242015882617
20,0,37.80999570989635,262.268123909855,300.0781196197513,136.95173663508436,23.887965848379142,10.902155784502517
21,0,37.80999570989635,262.268123909855,300.0781196197513,131.68436214911955,23.887965848379142,10.482842100483188
22,0,37.80999570989635,262.268123909855,300.0781196197513,126.61957898953804,23.887965848379142,10.079655865849219
23,0,37.80999570989635,262.268123909855,300.0781196197513,121.7495951822481,23.887965848379142,9.691976794085788
24,0,37.80999570989635,262.268123909855,300.0781196197513,117.06691844446932,23.887965848379142,9.319208455851717
25,0,37.80999570989635,262.268123909855,300.0781196197513,112.5643446581436,23.887965848379142,8.960777361395882
26,0,37.80999570989635,262.268123909855,300.0781196197513,108.23494678667653,23.887965848379142,8.616132078265272
27,0,37.80999570989635,262.268123909855,300.0781196197513,104.07206421795819,23.887965848379142,8.284742382947377
28,0,37.80999570989635,262.268123909855,300.0781196197513,100.06929251726748,23.887965848379142,7.966098445141707
29,0,37.80999570989635,262.268123909855,300.0781196197513,96.22047357429565,23.887965848379142,7.659710043405488
30,0,37.80999570989635,262.268123909855,300.0781196197513,92.51968612913043,23.887965848379142,7.365105810966814
